                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8495,                 4.7411,                 1.6327,                0.00155,                 0.4878,                 0.0076,                 0.0058,                 1.2319,                 4.6655,                 1.3821,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.5063,                  4.002,                 1.3391,                0.00256,                0.80488,                0.08916,                0.05752,                 1.0564,                 4.2587,                 1.0841,             0.00017822,             0.00017822,             0.00017822
                      3,                   1.31,                 3.0768,                 1.1204,                0.00279,                0.87805,                0.08354,                0.05097,                 1.0482,                  3.984,                 1.0596,             0.00027446,             0.00027446,             0.00027446
                      4,                 1.2651,                 2.2883,                  1.085,                0.00287,                0.90244,                0.14417,                0.09313,                0.97584,                 3.9131,                 1.0014,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.3828,                 2.2903,                   1.15,                0.00295,                0.92683,                0.12293,                0.08742,                0.91136,                  3.847,                 0.9872,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.2846,                 2.3595,                 1.0842,                0.00295,                0.92683,                0.15376,                0.11855,                0.96463,                 3.8213,                 0.9936,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.3589,                 2.0578,                 1.0491,                0.00264,                0.82927,                0.24144,                0.17282,                 1.0692,                 3.9435,                 1.0381,             0.00063961,             0.00063961,             0.00063961
                      8,                 1.3703,                 2.1794,                 1.0928,                0.78576,                0.17073,                0.25047,                0.18928,                 1.1103,                 3.9116,                 1.0554,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.3279,                  1.973,                  1.109,                 0.8455,                0.17073,                0.25038,                0.17853,                 1.2774,                 4.2391,                 1.2254,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.4288,                 1.8528,                 1.1391,                0.49702,                0.14634,                0.17601,                0.08805,                 1.3582,                 4.6083,                 1.3227,             0.00089268,             0.00089268,             0.00089268
                     11,                  1.328,                 1.9163,                 1.1159,                0.69952,                0.14634,                0.19621,                0.11813,                 1.4073,                 4.5439,                 1.3545,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.2641,                 1.6618,                 1.0608,                0.76501,                0.08049,                 0.2021,                0.14471,                 1.3285,                 4.3352,                 1.3225,              0.0010515,              0.0010515,              0.0010515
                     13,                 1.2646,                 1.7903,                  1.085,                0.66171,                0.09575,                0.16127,                0.10613,                 1.3299,                 4.2623,                 1.3373,              0.0011279,              0.0011279,              0.0011279
                     14,                 1.2901,                 1.9097,                 1.1297,                0.74144,                0.07317,                0.13805,                0.09139,                 1.2925,                 3.9619,                 1.2878,              0.0012024,              0.0012024,              0.0012024
                     15,                 1.3794,                 1.7085,                  1.095,                 0.7701,                0.16399,                0.33649,                 0.2101,                 1.3552,                 4.0701,                 1.3147,              0.0012749,              0.0012749,              0.0012749
                     16,                 1.2521,                 1.6415,                 1.1245,                0.74324,                0.36585,                0.41771,                0.27644,                 1.4398,                 3.7792,                 1.4168,              0.0013454,              0.0013454,              0.0013454
                     17,                 1.2357,                 1.6086,                 1.1353,                0.51663,                 0.2439,                0.27384,                0.17964,                 1.6145,                  4.086,                  1.601,              0.0014139,              0.0014139,              0.0014139
                     18,                 1.2329,                 1.6926,                 1.1277,                0.17789,                0.21951,                0.08319,                0.05604,                 1.6508,                 4.5021,                 1.6254,              0.0014804,              0.0014804,              0.0014804
                     19,                 1.3045,                 1.6063,                 1.1122,                0.06019,                0.14634,                0.02597,                0.01615,                 1.6148,                 5.6429,                 1.5767,               0.001545,               0.001545,               0.001545
                     20,                 1.1846,                 1.6022,                 1.0922,                 0.2073,                0.17073,                0.10822,                0.07403,                 1.5986,                 4.4749,                 1.4644,              0.0016076,              0.0016076,              0.0016076
                     21,                 1.3128,                 1.6628,                 1.1447,                0.20632,                0.14634,                0.10306,                0.07186,                 1.6596,                 4.3225,                  1.489,               0.001604,               0.001604,               0.001604
                     22,                 1.3224,                 1.5267,                 1.1355,                0.81396,                0.17073,                0.20498,                 0.1531,                 1.5986,                 3.9961,                 1.4809,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2596,                  1.556,                 1.0953,                0.79982,                0.21951,                0.29926,                0.19513,                 1.6233,                 3.6432,                 1.5559,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1398,                  1.288,                  1.053,                0.61645,                0.29268,                0.33723,                0.18013,                 1.5576,                 3.5782,                 1.5936,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1386,                 1.2939,                 1.0559,                0.59236,                0.34146,                0.34642,                0.21866,                 1.5715,                 3.4476,                 1.5687,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2175,                 1.4494,                 1.1099,                0.48431,                0.29268,                0.27873,                0.17824,                 1.5012,                 3.6047,                  1.519,               0.001505,               0.001505,               0.001505
                     27,                 1.3114,                 1.2573,                 1.0994,                0.41083,                0.35732,                0.29115,                0.17374,                 1.4394,                 3.4809,                  1.446,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2183,                    1.3,                 1.1302,                0.72547,                0.36585,                0.43263,                0.22869,                 1.6897,                 3.1504,                 1.7098,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1887,                 1.2188,                 1.0768,                0.70089,                 0.4878,                0.59193,                0.32191,                 1.6455,                 2.7185,                 1.6332,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1424,                 1.1566,                 1.0365,                0.70508,                0.65854,                0.64984,                0.36866,                 1.6382,                 2.6248,                 1.5446,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1287,                 1.3563,                 1.0508,                0.55802,                 0.5122,                0.53443,                  0.339,                 1.5228,                 2.8315,                 1.3851,               0.001406,               0.001406,               0.001406
                     32,                 1.1186,                 1.3108,                 1.0441,                0.60773,                0.34146,                0.34668,                0.19661,                 1.6318,                 3.1917,                 1.4599,              0.0013862,              0.0013862,              0.0013862
                     33,                  1.118,                 1.2119,                 1.0151,                0.76939,                0.36585,                0.42881,                0.25174,                 1.6439,                 2.8806,                 1.4805,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0923,                 1.1596,                 1.0323,                0.76354,                0.55151,                0.62168,                0.35863,                 1.4957,                 2.3875,                 1.4424,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.1907,                 1.1936,                 1.0461,                 0.5979,                0.61665,                0.64787,                0.38043,                 1.3916,                 2.3431,                  1.411,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1327,                 1.0581,                 1.0319,                0.76715,                0.64302,                 0.6713,                0.35637,                 1.4826,                 2.3164,                 1.4983,               0.001307,               0.001307,               0.001307
                     37,                 1.0779,                 1.1905,                  1.101,                0.84104,                0.70732,                0.75181,                0.42768,                 1.4512,                  2.132,                 1.4669,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0472,                 1.0736,                  1.008,                 0.8185,                0.73171,                0.79333,                0.44963,                 1.4002,                 1.9372,                 1.4269,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0669,                 1.0208,                 1.0087,                0.75089,                 0.7561,                0.80256,                0.44997,                  1.368,                 1.9054,                  1.376,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0867,                 1.0699,                 1.0372,                0.84354,                 0.6575,                0.74932,                0.41338,                 1.4506,                 1.9946,                 1.3943,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0649,                 1.0389,                  1.038,                0.86515,                0.60976,                0.68645,                0.40476,                 1.4551,                 2.1119,                 1.3967,               0.001208,               0.001208,               0.001208
                     42,                  1.046,                0.99883,                0.99328,                0.87233,                0.60976,                0.69652,                0.40198,                 1.4409,                 2.0922,                 1.3948,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0198,                0.99669,                 1.0125,                0.85866,                0.63415,                0.71121,                0.39241,                 1.4457,                 1.8851,                 1.4133,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1038,                0.98469,                 1.0329,                 0.8424,                0.65202,                0.75486,                0.45531,                 1.3326,                 1.7035,                 1.3337,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1072,                  1.019,                 1.0118,                0.96429,                0.65853,                0.77384,                 0.4998,                  1.241,                 1.6458,                 1.2586,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0406,                0.91691,                0.98183,                0.95555,                0.65854,                0.77608,                0.50703,                 1.2457,                 1.6121,                 1.2495,               0.001109,               0.001109,               0.001109
                     47,                 1.0345,                0.92472,                 1.0317,                 0.9284,                0.68293,                0.79261,                0.49851,                   1.28,                   1.57,                 1.2682,              0.0010892,              0.0010892,              0.0010892
                     48,                0.97936,                0.90246,                0.98943,                 0.9372,                0.72812,                0.86301,                0.52364,                 1.2532,                 1.4066,                 1.2791,              0.0010694,              0.0010694,              0.0010694
                     49,                0.96109,                0.83663,                0.97609,                0.92321,                0.73171,                0.86042,                0.53964,                 1.2351,                 1.4131,                 1.2623,              0.0010496,              0.0010496,              0.0010496
                     50,                0.95038,                0.79979,                0.96522,                0.83855,                0.76017,                 0.8598,                0.52419,                 1.2936,                 1.4207,                 1.3033,              0.0010298,              0.0010298,              0.0010298
                     51,                0.95197,                0.82613,                 1.0077,                0.84438,                0.73171,                0.85689,                0.50597,                 1.3582,                 1.4647,                 1.3317,                0.00101,                0.00101,                0.00101
                     52,                0.89948,                 0.7862,                0.95995,                0.80297,                0.89468,                0.87165,                 0.5123,                 1.3437,                 1.4011,                 1.3175,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0179,                0.79131,                0.95737,                0.79707,                0.90244,                0.86756,                0.50748,                 1.3858,                  1.395,                 1.3412,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0108,                0.88736,                 1.0333,                0.79863,                0.87072,                0.87988,                0.52855,                 1.3552,                 1.3591,                 1.3149,              0.0009506,              0.0009506,              0.0009506
                     55,                0.94971,                0.75727,                0.96181,                 0.7637,                0.86721,                0.88456,                0.55115,                 1.2654,                 1.2972,                 1.2688,              0.0009308,              0.0009308,              0.0009308
                     56,                0.95925,                0.75973,                0.95951,                0.84702,                0.81038,                0.88631,                 0.5623,                 1.2385,                 1.2525,                 1.2503,               0.000911,               0.000911,               0.000911
                     57,                0.87783,                0.73604,                0.91869,                0.83891,                0.78049,                0.82392,                0.54669,                 1.2543,                 1.2383,                 1.2588,              0.0008912,              0.0008912,              0.0008912
                     58,                0.94018,                0.75724,                0.91747,                0.90984,                0.73855,                0.87126,                0.51923,                 1.3209,                 1.2796,                 1.3144,              0.0008714,              0.0008714,              0.0008714
                     59,                0.97695,                 0.8095,                0.99397,                0.95681,                0.68293,                 0.8526,                0.51545,                 1.3652,                 1.3061,                 1.3447,              0.0008516,              0.0008516,              0.0008516
                     60,                0.91067,                0.76828,                0.96719,                0.93929,                0.75475,                0.85613,                0.54125,                 1.2105,                 1.2855,                  1.247,              0.0008318,              0.0008318,              0.0008318
                     61,                0.90232,                0.72897,                0.91707,                0.93865,                 0.7561,                0.86739,                0.56168,                 1.1515,                 1.2357,                 1.2218,               0.000812,               0.000812,               0.000812
                     62,                0.86502,                0.74245,                0.96567,                0.93911,                 0.7524,                0.87356,                0.56635,                 1.1666,                 1.2102,                 1.2368,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.8176,                0.69999,                0.98332,                0.95628,                0.73171,                0.86661,                0.55255,                 1.2113,                  1.219,                 1.2695,              0.0007724,              0.0007724,              0.0007724
                     64,                0.86915,                0.76072,                0.94858,                0.82133,                0.78493,                0.85106,                 0.5227,                 1.2889,                 1.3036,                 1.3322,              0.0007526,              0.0007526,              0.0007526
                     65,                0.91381,                0.74249,                 0.9837,                0.96658,                0.70554,                0.84641,                 0.5321,                 1.2745,                 1.3057,                 1.3186,              0.0007328,              0.0007328,              0.0007328
                     66,                0.85724,                0.71788,                 0.9623,                 0.8952,                 0.7561,                0.84359,                 0.5357,                 1.2623,                 1.2923,                 1.3143,               0.000713,               0.000713,               0.000713
                     67,                0.81903,                0.71822,                0.95397,                0.95717,                0.73171,                0.83852,                0.51604,                 1.2812,                 1.3192,                 1.3321,              0.0006932,              0.0006932,              0.0006932
                     68,                0.79762,                0.70927,                0.93329,                0.91346,                0.77254,                0.84191,                0.51416,                 1.3645,                 1.3755,                 1.3701,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.8767,                0.72126,                0.93583,                0.93769,                0.73415,                0.84761,                0.51182,                 1.3808,                 1.3406,                 1.3799,              0.0006536,              0.0006536,              0.0006536
